year,pixel_count,mean_albedo,median_albedo,std_albedo,min_albedo,max_albedo
2010,3950,0.5749063291139215,0.6,0.1625300995492882,0.0,1.0
2011,3903,0.578752241865234,0.62,0.1466565909475103,0.0,1.0
2012,4834,0.5711274306992106,0.6,0.1479434546626058,0.08,1.0
2013,4665,0.5404244372990321,0.58,0.1460039177542948,0.0,1.0
2014,4952,0.5799273021001554,0.6,0.1510650092127024,0.0,0.93
2015,4368,0.5562637362637376,0.58,0.1629125958732668,0.04,1.0
2016,3138,0.5672307202039532,0.6,0.1729579477568028,0.0,1.0
2017,4938,0.5142527339003644,0.53,0.1606576345821848,0.0,0.94
2018,4144,0.499963803088804,0.51,0.1632304926085348,0.0,1.0
2019,3075,0.540637398373982,0.59,0.169338671849434,0.0,1.0
2020,4037,0.5715853356452801,0.61,0.1600794632424768,0.0,1.0
2021,4809,0.5197754210854638,0.54,0.1571486768171104,0.0,1.0
2022,4722,0.5427657772130425,0.58,0.1533765131532075,0.0,0.99
2023,5664,0.430042372881356,0.42,0.1728252983783948,0.0,0.97
2024,4563,0.482338373876834,0.49,0.1768079711090094,0.0,1.0
